n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,5,0,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,1,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,2,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,3,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,4,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,5,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,6,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,7,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,8,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,5,9,0,0.8,0,1,4,0.888888889,0,0.8,0,1,4,0.888888889
1000,10,0,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,1,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,2,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,3,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,4,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,5,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,6,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,7,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,8,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,10,9,0,0.9,0,1,9,0.947368421,0,0.9,0,1,9,0.947368421
1000,20,0,0,1,0,0,20,1,0,1,0,0,20,1
1000,20,1,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,20,2,0,1,0,0,20,1,0,1,0,0,20,1
1000,20,3,0,1,0,0,20,1,0,1,0,0,20,1
1000,20,4,0,1,0,0,20,1,0,1,0,0,20,1
1000,20,5,0,1,0,0,20,1,0,1,0,0,20,1
1000,20,6,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,20,7,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,20,8,0.052631579,0.9,0.005882353,2,19,0.923076923,0,0.95,0,1,19,0.974358974
1000,20,9,0.052631579,0.9,0.005882353,2,19,0.923076923,0,0.95,0,1,19,0.974358974
1000,40,0,0.025,0.975,0.001351351,1,40,0.975,0,1,0,0,40,1
1000,40,1,0.025641026,0.95,0.001351351,2,39,0.962025316,0,0.975,0,1,39,0.987341772
1000,40,2,0.025,0.975,0.001351351,1,40,0.975,0,1,0,0,40,1
1000,40,3,0.025641026,0.95,0.001351351,2,39,0.962025316,0,0.975,0,1,39,0.987341772
1000,40,4,0.025,0.975,0.001351351,1,40,0.975,0,1,0,0,40,1
1000,40,5,0,1,0,0,40,1,0,1,0,0,40,1
1000,40,6,0,1,0,0,40,1,0,1,0,0,40,1
1000,40,7,0.025,0.975,0.001351351,1,40,0.975,0,1,0,0,40,1
1000,40,8,0,1,0,0,40,1,0,1,0,0,40,1
1000,40,9,0.025,0.975,0.001351351,1,40,0.975,0,1,0,0,40,1
