"n","s0","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,10,0,0.363636363636364,0.7,0.0222222222222222,4,11,0.666666666666667,0.0909090909090909,1,0.00555555555555556,1,11,0.952380952380952
1000,10,1,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,2,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,3,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,4,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,5,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,6,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,7,0.416666666666667,0.7,0.0277777777777778,5,12,0.636363636363636,0.166666666666667,1,0.0111111111111111,2,12,0.909090909090909
1000,10,8,0.3,0.7,0.0166666666666667,3,10,0.7,0,1,0,0,10,1
1000,10,9,0.363636363636364,0.7,0.0222222222222222,4,11,0.666666666666667,0.0909090909090909,1,0.00555555555555556,1,11,0.952380952380952
1000,20,0,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,1,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,2,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,3,0.368421052631579,0.6,0.0411764705882353,9,19,0.615384615384615,0.0526315789473684,0.9,0.00588235294117647,3,19,0.923076923076923
1000,20,4,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,5,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,6,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
1000,20,7,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,20,8,0.4,0.6,0.0470588235294118,9,20,0.6,0.05,0.95,0.00588235294117647,2,20,0.95
1000,20,9,0.35,0.65,0.0411764705882353,8,20,0.65,0.05,0.95,0.00588235294117647,2,20,0.95
1000,40,0,0.296296296296296,0.475,0.0533333333333333,27,27,0.567164179104478,0.222222222222222,0.525,0.04,25,27,0.626865671641791
1000,40,1,0.37037037037037,0.425,0.0666666666666667,30,27,0.507462686567164,0.259259259259259,0.5,0.0466666666666667,27,27,0.597014925373134
1000,40,2,0.321428571428571,0.475,0.06,27,28,0.558823529411765,0.214285714285714,0.55,0.04,24,28,0.647058823529412
1000,40,3,0.36,0.4,0.06,29,25,0.492307692307692,0.2,0.5,0.0333333333333333,25,25,0.615384615384615
1000,40,4,0.259259259259259,0.5,0.0466666666666667,26,27,0.597014925373134,0.222222222222222,0.525,0.04,25,27,0.626865671641791
1000,40,5,0.307692307692308,0.45,0.0533333333333333,28,26,0.545454545454546,0.230769230769231,0.5,0.04,26,26,0.606060606060606
1000,40,6,0.366666666666667,0.475,0.0733333333333333,30,30,0.542857142857143,0.3,0.525,0.06,28,30,0.6
1000,40,7,0.321428571428571,0.475,0.06,27,28,0.558823529411765,0.214285714285714,0.55,0.04,24,28,0.647058823529412
1000,40,8,0.296296296296296,0.475,0.0533333333333333,28,27,0.567164179104478,0.259259259259259,0.5,0.0466666666666667,27,27,0.597014925373134
1000,40,9,0.321428571428571,0.475,0.06,28,28,0.558823529411765,0.25,0.525,0.0466666666666667,26,28,0.61764705882353
