"n","distribution","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"gauss",0,0.421052631578947,0.55,0.0470588235294118,9,19,0.564102564102564,0,0.95,0,1,19,0.974358974358974
1000,"gauss",1,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"gauss",2,0.45,0.55,0.0529411764705882,9,20,0.55,0,1,0,0,20,1
1000,"gauss",3,0.4,0.6,0.0470588235294118,8,20,0.6,0,1,0,0,20,1
1000,"gauss",4,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"gauss",5,0.368421052631579,0.6,0.0411764705882353,8,19,0.615384615384615,0,0.95,0,1,19,0.974358974358974
1000,"gauss",6,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"gauss",7,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"gauss",8,0.2,0.8,0.0235294117647059,4,20,0.8,0,1,0,0,20,1
1000,"gauss",9,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,"exp",0,0.25,0.6,0.0235294117647059,8,16,0.666666666666667,0,0.8,0,4,16,0.888888888888889
1000,"exp",1,0.235294117647059,0.65,0.0235294117647059,7,17,0.702702702702703,0,0.85,0,3,17,0.918918918918919
1000,"exp",2,0.388888888888889,0.55,0.0411764705882353,10,18,0.578947368421053,0.0555555555555556,0.85,0.00588235294117647,4,18,0.894736842105263
1000,"exp",3,0.333333333333333,0.6,0.0352941176470588,8,18,0.631578947368421,0,0.9,0,2,18,0.947368421052632
1000,"exp",4,0.444444444444444,0.5,0.0470588235294118,10,18,0.526315789473684,0,0.9,0,2,18,0.947368421052632
1000,"exp",5,0.3,0.7,0.0352941176470588,8,20,0.7,0.1,0.9,0.0117647058823529,4,20,0.9
1000,"exp",6,0.368421052631579,0.6,0.0411764705882353,8,19,0.615384615384615,0,0.95,0,1,19,0.974358974358974
1000,"exp",7,0.235294117647059,0.65,0.0235294117647059,7,17,0.702702702702703,0,0.85,0,3,17,0.918918918918919
1000,"exp",8,0.222222222222222,0.7,0.0235294117647059,6,18,0.736842105263158,0,0.9,0,2,18,0.947368421052632
1000,"exp",9,0.235294117647059,0.65,0.0235294117647059,7,17,0.702702702702703,0,0.85,0,3,17,0.918918918918919
1000,"gumbel",0,0.105263157894737,0.85,0.0117647058823529,3,19,0.871794871794872,0,0.95,0,1,19,0.974358974358974
1000,"gumbel",1,0.285714285714286,0.75,0.0352941176470588,6,21,0.731707317073171,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",2,0.19047619047619,0.85,0.0235294117647059,4,21,0.829268292682927,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",3,0.277777777777778,0.65,0.0294117647058824,7,18,0.684210526315789,0,0.9,0,2,18,0.947368421052632
1000,"gumbel",4,0.263157894736842,0.7,0.0294117647058824,6,19,0.717948717948718,0,0.95,0,1,19,0.974358974358974
1000,"gumbel",5,0.25,0.75,0.0294117647058824,5,20,0.75,0,1,0,0,20,1
1000,"gumbel",6,0.35,0.65,0.0411764705882353,7,20,0.65,0,1,0,0,20,1
1000,"gumbel",7,0.3,0.7,0.0352941176470588,7,20,0.7,0.05,0.95,0.00588235294117647,2,20,0.95
1000,"gumbel",8,0.285714285714286,0.75,0.0352941176470588,6,21,0.731707317073171,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",9,0.315789473684211,0.65,0.0352941176470588,7,19,0.666666666666667,0,0.95,0,1,19,0.974358974358974
